愛,アイ
主従,シュウジュウ
修正,シュウセイ
周旋,シュウセン
手巾,シュキン
修行,シュギョウ
粛粛,シュクシュク
祝勝,シュクショウ
淑女,シュクジョ
宿直,シュクチョク
宿料,シュクリョウ
手燭,シュショク
主人,シュジン
主人公,シュジンコウ
手段,シュダン
主張,シュチョウ
出血,シュッケツ
出精,シュッセイ
出席,シュッセキ
出立,シュッタツ
出頭,シュットウ
出帆,シュッパン
出,シュツ
出入,シュツニュウ
出ろ,シュツロ
主任,シュニン
主筆,シュヒツ
手腕,シュワン
所,ショ
書,ショ
諸,ショ
所為,ショイ
商,ショウ
小,ショウ
焼,ショウ
相,ショウ
省,ショウ
賞,ショウ
紹介,ショウカイ
生涯,ショウガイ
小学校,ショウガッコウ
正月,ショウガツ
正気,ショウキ
将棋,ショウギ
商業,ショウギョウ
証拠,ショウコ
障子,ショウジ
正直,ショウジキ
小生,ショウセイ
笑声,ショウセイ
正体,ショウタイ
承知,ショウチ
衝突,ショウトツ
商人,ショウニン
少年,ショウネン
商売,ショウバイ
性分,ショウブン
証明,ショウメイ
正面,ショウメン
将来,ショウライ
焦慮,ショウリョ
奨励,ショウレイ
昭和,ショウワ
書家,ショカ
書画,ショガ
書記,ショキ
職,ショク
色,ショク
職員,ショクイン
食堂,ショクドウ
諸君,ショクン
処決,ショケツ
所作,ショサ
初秋,ショシュウ
書生,ショセイ
処置,ショチ
署長,ショチョウ
初手,ショテ
所得,ショトク
処分,ショブン
諸方,ショホウ
書物,ショモツ
所有,ショユウ
しよう,シヨウ
仕様,シヨウ
使用,シヨウ
しら,シラ
知らせ,シラセ
知らん顔,シランカオ
尻,シリ
尻込み,シリゴミ
私立,シリツ
汁,シル
汁粉,シルコ
印,シルシ
白,シロ
素人,シロウト
皺,シワ
心,シン
清,シン
親,シン
神経,シンケイ
神経質,シンケイシツ
進行,シンコウ
新参,シンザン
寝室,シンシツ
斟酌,シンシャク
心中,シンジュウ
親切,シンセツ
真相,シンソウ
真率,シンソツ
身体,シンタイ
新体詩,シンタイシ
新築,シンチク
新調,シンチョウ
身長,シンチョウ
新任,シンニン
新橋,シンバシ
心配,シンパイ
新聞,シンブン
心棒,シンボウ
親身,シンミ
信用,シンヨウ
信頼,シンライ
新来,シンライ
親類,シンルイ
字,ジ
持,ジ
時,ジ
